Place's name,Place's rank,Place's type,Place's status,Place's time,Place's images,Place's url,Place's rate,Place's total reviewer,Place's 5 points,Place's 4 points,Place's 3 points,Place's 2 points,Place's 1 points,retrived_date,Province
Văn Miếu Quốc Tử Giám,Số 6 trong 259 hoạt động giải trí tại Hà Nội,Địa điểm lịch sử • Điểm thu hút khách tham quan & thắng cảnh • Địa điểm tôn giáo,Đang đóng cửa,08:00 - 17:00,9087,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d311083-Reviews-Temple_of_Literature_National_University-Hanoi.html,4.5,10992,4971,4494,1356,123,48,4/21/2022,Hà Nội
La Spa Trendy,Số 1 trên 332 Spa & Sức khỏe ở Hà Nội,Spa,Đang mở cửa,09:00 - 21:00,534,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d10551646-Reviews-La_Spa_Trendy-Hanoi.html,5,1242,1217,20,2,2,1,4/21/2022,Hà Nội
Hà Nội La Belle Spa,Số 3 trên 332 Spa & Sức khỏe ở Hà Nội,Spa,Đang mở cửa,09:00 - 22:30,295,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d12051459-Reviews-Hanoi_La_Belle_Spa_Wellness-Hanoi.html,5,993,983,4,1,2,3,4/21/2022,Hà Nội
Ancient House,Số 14 trong 259 hoạt động giải trí tại Hà Nội,Viện bảo tàng chuyên ngành • Viện bảo tàng lịch sử,,,363,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d2264809-Reviews-Ancient_House-Hanoi.html,4,505,198,205,85,12,5,4/21/2022,Hà Nội
Rosa Eco Bus,Số 11 trên 346 Phương tiện giao thông ở Hà Nội,Taxi & xe đưa đón,,,105,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d12213081-Reviews-Rosa_Eco_Bus-Hanoi.html,5,343,330,10,1,0,2,4/21/2022,Hà Nội
Alisa Bella Spa Hanoi,Số 16 trên 332 Spa & Sức khỏe ở Hà Nội,Spa • Spa nước nóng,Đang mở cửa,09:00 - 22:00,89,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d15681047-Reviews-Alisa_Bella_Spa_Hanoi-Hanoi.html,5,324,322,1,1,0,0,4/21/2022,Hà Nội
Huu Tiep Lake and the Downed B-52,Số 35 trong 259 hoạt động giải trí tại Hà Nội,Địa điểm lịch sử • Chiến trường,,,283,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d455010-Reviews-Huu_Tiep_Lake_and_the_Downed_B_52-Hanoi.html,4,251,67,110,57,11,6,4/21/2022,Hà Nội
Ta Hien Street,Số 34 trong 259 hoạt động giải trí tại Hà Nội,Khu lân cận,,,220,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d9983248-Reviews-Ta_Hien_Street-Hanoi.html,4,186,62,78,32,9,5,4/21/2022,Hà Nội
Duong's Cooking Class,Số 5 trên 179 Lớp học & hội thảo ở Hà Nội,Lớp nấu ăn,,,264,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d11670779-Reviews-Duong_s_Cooking_Class-Hanoi.html,5,182,181,1,0,0,0,4/21/2022,Hà Nội
Vietnam Luxury Golf Tours,Số 3 trong 259 hoạt động giải trí tại Hà Nội,Trung tâm & trại thể thao,,,203,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d6419376-Reviews-Vietnam_Luxury_Golf_Tours-Hanoi.html,5,176,163,13,0,0,0,4/21/2022,Hà Nội
Hanoi Cooking Class,Số 13 trên 179 Lớp học & hội thảo ở Hà Nội,Lớp nấu ăn,,,182,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d6477125-Reviews-Hanoi_Cooking_Class-Hanoi.html,5,171,151,17,1,1,1,4/21/2022,Hà Nội
